GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,pop
22001960100,140,22,1,18940,318,,,Census Tract 9601,6188
22001960200,140,22,1,18940,318,,,Census Tract 9602,5056
22001960300,140,22,1,18940,318,,,Census Tract 9603,3149
22001960400,140,22,1,18940,318,,,Census Tract 9604,5617
22001960500,140,22,1,18940,318,,,Census Tract 9605,4927
22001960600,140,22,1,18940,318,,,Census Tract 9606,5654
22001960700,140,22,1,18940,318,,,Census Tract 9607,4614
22001960800,140,22,1,18940,318,,,Census Tract 9608,5633
22001960900,140,22,1,18940,318,,,Census Tract 9609,5059
22001961000,140,22,1,18940,318,,,Census Tract 9610,5971
22001961100,140,22,1,18940,318,,,Census Tract 9611,3497
22001961200,140,22,1,18940,318,,,Census Tract 9612,3495
22003950100,140,22,3,99999,999,,,Census Tract 9501,4591
22003950200,140,22,3,99999,999,,,Census Tract 9502,5528
22003950300,140,22,3,99999,999,,,Census Tract 9503,3464
22003950400,140,22,3,99999,999,,,Census Tract 9504,4601
22003950500,140,22,3,99999,999,,,Census Tract 9505,7255
22005030101,140,22,5,12940,132,,,Census Tract 301.01,4824
22005030102,140,22,5,12940,132,,,Census Tract 301.02,4377
22005030103,140,22,5,12940,132,,,Census Tract 301.03,4813
22005030203,140,22,5,12940,132,,,Census Tract 302.03,6296
22005030204,140,22,5,12940,132,,,Census Tract 302.04,6845
22005030205,140,22,5,12940,132,,,Census Tract 302.05,5593
22005030206,140,22,5,12940,132,,,Census Tract 302.06,6592
22005030300,140,22,5,12940,132,,,Census Tract 303,5506
22005030401,140,22,5,12940,132,,,Census Tract 304.01,4369
22005030402,140,22,5,12940,132,,,Census Tract 304.02,5621
22005030500,140,22,5,12940,132,,,Census Tract 305,7008
22005030600,140,22,5,12940,132,,,Census Tract 306,3973
22005030900,140,22,5,12940,132,,,Census Tract 309,4119
22005031000,140,22,5,12940,132,,,Census Tract 310,6690
22007050100,140,22,7,38200,132,,,Census Tract 501,3794
22007050200,140,22,7,38200,132,,,Census Tract 502,5315
22007050300,140,22,7,38200,132,,,Census Tract 503,3934
22007050400,140,22,7,38200,132,,,Census Tract 504,3160
22007050500,140,22,7,38200,132,,,Census Tract 505,3339
22007050600,140,22,7,38200,132,,,Census Tract 506,3845
22009030100,140,22,9,99999,999,,,Census Tract 301,2463
22009030200,140,22,9,99999,999,,,Census Tract 302,2523
22009030300,140,22,9,99999,999,,,Census Tract 303,3321
22009030400,140,22,9,99999,999,,,Census Tract 304,7120
22009030500,140,22,9,99999,999,,,Census Tract 305,6688
22009030600,140,22,9,99999,999,,,Census Tract 306,6010
22009030700,140,22,9,99999,999,,,Census Tract 307,7568
22009030800,140,22,9,99999,999,,,Census Tract 308,2448
22009030900,140,22,9,99999,999,,,Census Tract 309,3338
22011960100,140,22,11,19760,256,,,Census Tract 9601,5852
22011960200,140,22,11,19760,256,,,Census Tract 9602,4463
22011960300,140,22,11,19760,256,,,Census Tract 9603,4269
22011960400,140,22,11,19760,256,,,Census Tract 9604,3010
22011960500,140,22,11,19760,256,,,Census Tract 9605,4602
22011960600,140,22,11,19760,256,,,Census Tract 9606,3469
22011960700,140,22,11,19760,256,,,Census Tract 9607,7321
22013970100,140,22,13,99999,999,,,Census Tract 9701,3922
22013970200,140,22,13,99999,999,,,Census Tract 9702,2240
22013970300,140,22,13,99999,999,,,Census Tract 9703,3585
22017980000,140,22,17,43340,508,,,Census Tract 9800,0
22013970400,140,22,13,99999,999,,,Census Tract 9704,2707
22013970500,140,22,13,99999,999,,,Census Tract 9705,3296
22015010400,140,22,15,43340,508,,,Census Tract 104,5315
22015010500,140,22,15,43340,508,,,Census Tract 105,4746
22015010601,140,22,15,43340,508,,,Census Tract 106.01,7173
22015010602,140,22,15,43340,508,,,Census Tract 106.02,2887
22015010701,140,22,15,43340,508,,,Census Tract 107.01,4031
22015010702,140,22,15,43340,508,,,Census Tract 107.02,3504
22015010801,140,22,15,43340,508,,,Census Tract 108.01,3159
22015010804,140,22,15,43340,508,,,Census Tract 108.04,6101
22015010805,140,22,15,43340,508,,,Census Tract 108.05,7219
22015010806,140,22,15,43340,508,,,Census Tract 108.06,3542
22015010900,140,22,15,43340,508,,,Census Tract 109,3459
